5.669566282247288092e-01,5.889536550052566488e-01,5.945293065330728988e-01,5.859666995294785519e-01,5.819636948908886165e-01,5.709630421655532695e-01,5.565829962512435225e-01,5.656343449512608590e-01,5.428996679092551458e-01,5.479784784707717460e-01,5.597328752472626734e-01,5.430724495383500994e-01,5.420522468701418628e-01,5.537992129342022007e-01,5.487046853558378290e-01,5.358806852945686705e-01,5.415171725517883283e-01,5.486520129173391158e-01,5.337067866271401062e-01,5.257309014183532136e-01
5.691951579630603053e-01,5.781919418618219897e-01,5.952034472831804202e-01,5.807853293762403890e-01,5.806316033029143009e-01,5.752716196506661994e-01,5.651250903685522964e-01,5.636133309662383351e-01,5.545868603249741735e-01,5.550536451196661503e-01,5.619083253299689273e-01,5.460531544085277522e-01,5.503374138004279992e-01,5.362444003226789491e-01,5.359660212843344596e-01,5.390439123698901325e-01,5.414889887934520862e-01,5.279173354289745657e-01,5.396407162471263952e-01,5.372512003461024088e-01
5.831344209515857413e-01,5.984598291158553796e-01,5.820102152490169711e-01,5.881351644189248828e-01,5.762786834875651687e-01,5.772583872463709076e-01,5.684663972014377675e-01,5.575887829130148354e-01,5.571185696809435317e-01,5.695441939908356677e-01,5.524497254550330139e-01,5.551479198100027768e-01,5.515064158958795648e-01,5.391553319683171086e-01,5.433790418376406306e-01,5.465397412156322021e-01,5.379800174081176278e-01,5.383673370263528657e-01,5.374295051395554523e-01,5.508314764546551334e-01
5.710899679805573337e-01,5.929136587365985145e-01,5.790473297048710499e-01,5.915878175543454187e-01,5.938214296931105807e-01,5.737249466128123698e-01,5.691383223943698999e-01,5.612624579835907568e-01,5.472490254861156478e-01,5.580895972687068829e-01,5.530240183012016253e-01,5.448942363451847459e-01,5.524447852311570317e-01,5.386050018305543752e-01,5.454803205500274865e-01,5.483291817914477395e-01,5.460750781279202215e-01,5.433409085719269616e-01,5.355335629951735177e-01,5.388442987746697721e-01
5.802500012186369016e-01,5.766933833202381177e-01,5.831104999658806021e-01,5.792632121499737829e-01,5.799477069317775513e-01,5.790508280040819189e-01,5.768818380036115911e-01,5.627222372346125656e-01,5.592178481362005682e-01,5.507214781438062312e-01,5.525378958135341856e-01,5.509207946595116034e-01,5.559142950216227064e-01,5.531845208810879377e-01,5.359976473981777900e-01,5.445309378301326220e-01,5.473715493924463660e-01,5.407100494295263848e-01,5.403882760503344596e-01,5.403797551531495102e-01
5.776895769858378937e-01,5.824819860579626418e-01,5.847844068647128912e-01,5.797721847493441105e-01,5.843189389821810131e-01,5.780880108976581555e-01,5.705132114275417443e-01,5.671218946483745915e-01,5.540871902167516794e-01,5.498283689395979668e-01,5.491234421966751933e-01,5.432158347971668411e-01,5.522256952803369368e-01,5.396831849705405748e-01,5.414457281697682145e-01,5.429540725496326825e-01,5.407007734647633068e-01,5.406645740413433820e-01,5.285784992880127042e-01,5.458916949734387014e-01
5.706021075847298452e-01,5.767458452789206991e-01,5.880703687453185946e-01,5.678107416862203660e-01,5.627606697392728563e-01,5.789541845571705148e-01,5.653422887057502066e-01,5.611987299794527484e-01,5.674417220083372015e-01,5.675595329831277791e-01,5.518896763911229630e-01,5.486544888228692685e-01,5.419701369440933503e-01,5.474946140338596834e-01,5.459906649312435967e-01,5.414725422670627619e-01,5.472910909349996134e-01,5.297069872071673569e-01,5.346781029275375907e-01,5.336277788482843842e-01
5.776950239264715403e-01,5.720628894046917434e-01,5.833813613445408830e-01,5.737814104374152624e-01,5.951608294001282662e-01,5.795937081644598754e-01,5.585823373618777898e-01,5.604842184444598363e-01,5.612305057525444063e-01,5.594023540706007935e-01,5.549636996376586806e-01,5.421420715093432374e-01,5.455334843358290442e-01,5.472548973132751460e-01,5.372335359384006193e-01,5.463368634343825914e-01,5.461527600251532277e-01,5.326415896439340436e-01,5.402654767280836712e-01,5.322501741212976034e-01
5.704046236496524980e-01,5.887688415622609472e-01,5.876351332361737789e-01,5.750732193892027500e-01,5.821263180058512399e-01,5.611709313704276170e-01,5.652242573325371167e-01,5.825844975701370831e-01,5.703215851038724304e-01,5.582940111248906323e-01,5.503420116082055058e-01,5.523249941966408283e-01,5.419453751798165575e-01,5.464057844037849554e-01,5.380863548758154646e-01,5.346508943828232052e-01,5.413003205168522847e-01,5.388972678695562735e-01,5.378849239613950894e-01,5.320503690585890455e-01
5.747074392672176790e-01,5.925235201217773362e-01,5.914164616464996360e-01,5.765904184648547037e-01,5.794398005598939694e-01,5.631150894341648838e-01,5.626806176272675097e-01,5.675888148053072069e-01,5.600018614668569317e-01,5.542481983769920184e-01,5.552399187239001055e-01,5.496054077304428631e-01,5.544788875111368309e-01,5.462536927310666091e-01,5.355596736219749854e-01,5.387460495353244561e-01,5.330990670160968836e-01,5.349663307402476864e-01,5.338309940044009272e-01,5.291714393495683399e-01
5.686325658635200675e-01,5.873106890901134136e-01,5.912901416489015904e-01,5.785626968850391405e-01,5.732569239553889640e-01,5.752691389045555548e-01,5.718850736769288678e-01,5.616634001017886124e-01,5.663948522651722772e-01,5.610830970107754112e-01,5.690791024378455409e-01,5.470560915608372321e-01,5.384465706092378401e-01,5.506519572596968448e-01,5.331102182995764993e-01,5.415018663667821031e-01,5.462566463474242129e-01,5.367151564230150385e-01,5.344518574945302802e-01,5.227045020250733476e-01
5.658463527490951162e-01,5.985186255012072687e-01,5.899144285822999212e-01,5.867479226961468397e-01,5.874338655329254255e-01,5.697606955769264347e-01,5.649042461335846976e-01,5.498537675472416897e-01,5.537151088240680474e-01,5.544579710612994594e-01,5.532243245846658608e-01,5.435063362338227178e-01,5.458576676122902649e-01,5.420818551913397787e-01,5.457085565275850980e-01,5.428444037009177991e-01,5.358342021469779670e-01,5.480058961289038244e-01,5.341482429863235737e-01,5.398255620183567416e-01
5.712757265928212203e-01,5.838431173863700696e-01,5.924803557778706153e-01,5.899655371634875412e-01,5.777562817669003037e-01,5.735676642050526741e-01,5.613579481279387107e-01,5.497587854319782030e-01,5.547913514160101034e-01,5.566702689172687846e-01,5.476782975975159617e-01,5.620463746755679502e-01,5.478563836931191755e-01,5.564983528937109680e-01,5.477780385099324523e-01,5.472173993853954865e-01,5.500421613959399769e-01,5.405869232096394139e-01,5.335585491061412000e-01,5.444618926725366403e-01
5.815092355428833626e-01,5.855725784604551842e-01,5.922515468508855463e-01,5.905488053746937860e-01,5.829947102425534489e-01,5.616894256332015667e-01,5.655468961555218943e-01,5.615797994014919414e-01,5.543002957620943860e-01,5.482085883354514966e-01,5.624751846787365839e-01,5.451357959044115242e-01,5.488072922361922901e-01,5.483025707498736523e-01,5.491570733738646570e-01,5.415799397817913086e-01,5.400259124231616692e-01,5.446026486673257727e-01,5.432878643276511932e-01,5.347045131867533829e-01
5.747954458480134532e-01,5.870100116707639426e-01,5.902285386181518323e-01,5.810350413846836481e-01,5.675108977050042913e-01,5.804181205233153173e-01,5.658494604634787262e-01,5.543278843334485950e-01,5.562818387724293157e-01,5.568536803207665420e-01,5.530576914252657295e-01,5.488962077554381258e-01,5.432013622492005700e-01,5.482546024509936666e-01,5.545269912286026059e-01,5.291249055911011467e-01,5.402373285794446200e-01,5.344936965761717396e-01,5.379534042325029297e-01,5.351918125582486585e-01
5.758136002992066960e-01,5.791075313482411113e-01,5.858135078988528921e-01,5.890287017798186975e-01,5.697521686841953148e-01,5.769837540611292281e-01,5.687020502906823261e-01,5.629355042913288809e-01,5.596840343818179075e-01,5.544825958884523898e-01,5.517563543683008387e-01,5.588464241289619050e-01,5.542225059358921735e-01,5.401324568271308468e-01,5.432295615379578724e-01,5.402695454426285071e-01,5.473789161578206386e-01,5.448506079766340937e-01,5.417776794080009228e-01,5.371364513336730484e-01
5.801306434225268482e-01,5.948185450698586507e-01,5.863875838228693738e-01,5.818722554053477047e-01,5.865448970937581219e-01,5.778476427997778497e-01,5.769343459147022735e-01,5.588322187661842744e-01,5.510692943217353479e-01,5.590600149958950826e-01,5.501116636574635566e-01,5.410012024148228571e-01,5.511972715369599651e-01,5.366237670668733140e-01,5.530465718366460726e-01,5.418048221401103870e-01,5.375142071906842123e-01,5.341299832240500312e-01,5.352419376710233490e-01,5.301443744306876260e-01
