5.507615630270360496e-01,5.618543970249321173e-01,5.708630463423014501e-01,5.665372878177952209e-01,5.727605717804900021e-01,5.801420292134309431e-01,5.902768944254505046e-01,5.787991753821021268e-01,5.889745205477346923e-01,5.882570235669667413e-01,5.901126944886542214e-01,5.758921313845943857e-01,5.855963726789924495e-01,5.895195698835541398e-01,5.888107400742677022e-01,5.929875236640317349e-01,5.936792089144437012e-01,5.976839325119478463e-01,5.832690419301134188e-01,5.908694332425896700e-01,5.927979956867918121e-01,5.761894834186876979e-01,5.780266076511905160e-01,5.685724593399632543e-01,5.628395398773922143e-01,5.488554278980198875e-01,5.460476354479649741e-01,5.363023148639511906e-01,5.293992870666834882e-01,5.281690232116370565e-01
5.511724476825857755e-01,5.611354482491760498e-01,5.784340400404426319e-01,5.696928965756884455e-01,5.820197429057007987e-01,5.804415252432920669e-01,5.765620108493335616e-01,5.882645740185067362e-01,5.835907918380600634e-01,5.959321416323770659e-01,5.834089420627019962e-01,5.814655898361835717e-01,5.953400387256106985e-01,5.860627739852886098e-01,5.899639209433739095e-01,5.823989482416804808e-01,5.863743293541757717e-01,5.821326282203080904e-01,5.714263183987003947e-01,5.726587522748881609e-01,5.849047371434629161e-01,5.907767916544444109e-01,5.747540310914801553e-01,5.749569550218402991e-01,5.653000360810966907e-01,5.461233246032937139e-01,5.403216821389873470e-01,5.378343259534228427e-01,5.303141105192624716e-01,5.211109284425865518e-01
5.550704076273016430e-01,5.660298439475012211e-01,5.779774881197888847e-01,5.689839359817876474e-01,5.775711826814327043e-01,5.720622272581803447e-01,5.840361418976113272e-01,5.839677834286741698e-01,5.898920922388941612e-01,5.759839677278748571e-01,5.863656789029473293e-01,5.828629023036633328e-01,5.848086704406678660e-01,5.873045388373487885e-01,5.918749657732564895e-01,5.822836093453819251e-01,5.843562640588424451e-01,5.913742824306031931e-01,5.802789100723361182e-01,5.900580172688659752e-01,5.719603670114240535e-01,5.688270092594077676e-01,5.693183583689607197e-01,5.646513753351053433e-01,5.532031706387590120e-01,5.448563591547139762e-01,5.397566301976788328e-01,5.442208812393986017e-01,5.347577613079774750e-01,5.319719581065991409e-01
5.556012178159085435e-01,5.626966918077043189e-01,5.793499809130502332e-01,5.811610477010684672e-01,5.815238258954927852e-01,5.867199693051839970e-01,5.937893829992619832e-01,5.883572355174780943e-01,5.866634773557299898e-01,5.865961550143129477e-01,5.889137963676894794e-01,5.943966520484892380e-01,5.882041277516359967e-01,5.745910045690718615e-01,5.868449441917685805e-01,5.831625423550081955e-01,5.826093039202028256e-01,5.866021069708543534e-01,5.933082279467650766e-01,5.696520518112879738e-01,5.842939369022661644e-01,5.768838898442749663e-01,5.788422983842527181e-01,5.570036937784654807e-01,5.610066524517821618e-01,5.405527011856735564e-01,5.439922179492968635e-01,5.363143567268394696e-01,5.377700877867224172e-01,5.198630561113920523e-01
5.472981941510475234e-01,5.653060891192647208e-01,5.759713134339875529e-01,5.854250569496011192e-01,5.747416556112721064e-01,5.854913531356188416e-01,5.812432937534977029e-01,5.944046529876760854e-01,5.921622109236720499e-01,5.889693019830575249e-01,5.858570367716390281e-01,5.814518343168419978e-01,5.861042641356818406e-01,5.777641810048661508e-01,5.887440520677682532e-01,5.907952322147479451e-01,5.832646901822325924e-01,5.796986701598878522e-01,5.859148693127521623e-01,5.869347985434790749e-01,5.847893482784967123e-01,5.826418994318409705e-01,5.636415252982531765e-01,5.726022110841808566e-01,5.572785943910398831e-01,5.458885350125678437e-01,5.412172657292163569e-01,5.369004235184484664e-01,5.252064786135426377e-01,5.337187006306541859e-01
5.515551847850076461e-01,5.690404374273486665e-01,5.718253261044188296e-01,5.709766880644538967e-01,5.795419019242644687e-01,5.859019646441504525e-01,5.852117231704979661e-01,5.916325714778294387e-01,5.905688647075273412e-01,5.860101703540171458e-01,5.843709249247774906e-01,5.913656853928557222e-01,5.870244548793668304e-01,5.827119582940019082e-01,5.809066966465089576e-01,5.814880276872671505e-01,5.945667255660717077e-01,5.933909149017776441e-01,5.855680756968629774e-01,5.825086519170145083e-01,5.882784866765263798e-01,5.920998052205556084e-01,5.783763278681943731e-01,5.582414985685298925e-01,5.577662403947539760e-01,5.558820903589902773e-01,5.452973143806032486e-01,5.355120495937512048e-01,5.326783059204748261e-01,5.287853571413810849e-01
5.442651645829302831e-01,5.642857051840857174e-01,5.761253289067785888e-01,5.777652954102686644e-01,5.707247204624237291e-01,5.767214991726260509e-01,5.936390177647596911e-01,5.884146187935539452e-01,5.812794270829344523e-01,5.850047698339855273e-01,5.863804972095767454e-01,5.966656697954042521e-01,5.864687775087290555e-01,5.862343762713760897e-01,5.884430567163427828e-01,5.984125043999625193e-01,5.806942016419630592e-01,5.915764766121560658e-01,5.846659000468972245e-01,5.918051806012627480e-01,5.888098981250465824e-01,5.837963401654729934e-01,5.848579940603837457e-01,5.681000010721926063e-01,5.459702418457955675e-01,5.456296772377332571e-01,5.451299996715720519e-01,5.449386068359773905e-01,5.265308184822325988e-01,5.315764699607957722e-01
5.582706062541891168e-01,5.563428397312260021e-01,5.654812127532442556e-01,5.753255058245613229e-01,5.817049068104809262e-01,5.811245754354259496e-01,5.773607631432300380e-01,5.762982066831711103e-01,5.962865406930842882e-01,5.912603236300788545e-01,6.014546736716319675e-01,5.863729572282940783e-01,5.917860727273502874e-01,5.728687981586010336e-01,5.871419017709629262e-01,5.862857960246411482e-01,5.836165773829230519e-01,5.853693439095402073e-01,5.840731987215433962e-01,5.816264964263674342e-01,5.901163850938918598e-01,5.768870213839136785e-01,5.770805486308683285e-01,5.594021281654018019e-01,5.524460533071843260e-01,5.392528078137541758e-01,5.409688474179463746e-01,5.361589039490040065e-01,5.332093125664685296e-01,5.388416930496847668e-01
5.443736410946315996e-01,5.578720681969333572e-01,5.610633910733231478e-01,5.753760942480768970e-01,5.912710840182681116e-01,5.855208017212730764e-01,5.810885602548845341e-01,5.756041809235457052e-01,5.832461347384007011e-01,5.915166877611695018e-01,5.847333447312073051e-01,5.856640124708705208e-01,5.911336084027751792e-01,5.873425828731393405e-01,5.915388809064485720e-01,5.756553857657826789e-01,5.894970615801276015e-01,5.972824129013464267e-01,5.827510869572039010e-01,5.925931024769897082e-01,5.850366099953741017e-01,5.701029563794295374e-01,5.844490554878096766e-01,5.606931804928736440e-01,5.574004294556103023e-01,5.442641022897842795e-01,5.377751158061203629e-01,5.398114464659961032e-01,5.394815209209175011e-01,5.304422741166772148e-01
5.535509888586653826e-01,5.618221111361136888e-01,5.675145742126727066e-01,5.791936562286646994e-01,5.793724246728453320e-01,5.761277692831832109e-01,5.992052060481469766e-01,5.867105928830564920e-01,5.768701040333801267e-01,6.032684600291655652e-01,5.955177757259264570e-01,5.854252451243826538e-01,5.992637980669275333e-01,5.917368234116111569e-01,5.865491168878153028e-01,5.856135949043319577e-01,5.753442678709159708e-01,5.828273844622268163e-01,5.832979534212718864e-01,5.854819756848381740e-01,5.763291193611881358e-01,5.904208107651058857e-01,5.759065861792856955e-01,5.728373918058627945e-01,5.621058166637846742e-01,5.513219822713633089e-01,5.375306830166157734e-01,5.293323545217851755e-01,5.336215687324340484e-01,5.295683285863029832e-01
