run,U_value,sigma_value,hurst_exponent,fraction_greed,fraction_need
0,6,0.0,0.44740260938982734,0.0,1.0
0,6,0.010526315789473684,0.4802770121156539,0.0,1.0
0,6,0.021052631578947368,0.4903342752482366,0.0,1.0
0,6,0.031578947368421054,0.5020048622409817,0.0,1.0
0,6,0.042105263157894736,0.5145804925034769,0.0,1.0
0,6,0.05263157894736842,0.5480330136872966,0.0,1.0
0,6,0.06315789473684211,0.5215955186807133,0.0,1.0
0,6,0.07368421052631578,0.519553359709622,0.0,1.0
0,6,0.08421052631578947,0.5353225427256401,0.0,1.0
0,6,0.09473684210526316,0.5310970006168443,0.0,1.0
0,6,0.10526315789473684,0.5547680863978555,0.0,1.0
0,6,0.11578947368421053,0.537142676610818,0.0,1.0
0,6,0.12631578947368421,0.547110256810457,0.0,1.0
0,6,0.1368421052631579,0.5575437282331452,0.0,1.0
0,6,0.14736842105263157,0.5306063230173905,0.0,1.0
0,6,0.15789473684210525,0.5416113239276212,0.0,1.0
0,6,0.16842105263157894,0.521272763448944,0.0,1.0
0,6,0.17894736842105263,0.5160174502337431,0.0,1.0
0,6,0.18947368421052632,0.5343614844535398,0.0,1.0
0,6,0.2,0.524337649742627,0.0,1.0
0,7,0.0,0.4391002035456915,0.0,1.0
0,7,0.010526315789473684,0.5058911391655658,0.0,1.0
0,7,0.021052631578947368,0.5195628503858715,0.0,1.0
0,7,0.031578947368421054,0.54397887895036,0.0,1.0
0,7,0.042105263157894736,0.5443597686887282,0.0,1.0
0,7,0.05263157894736842,0.5609785949367774,0.0,1.0
0,7,0.06315789473684211,0.5869175143464804,0.0,1.0
0,7,0.07368421052631578,0.5894336299976362,0.0,1.0
0,7,0.08421052631578947,0.5786669735962916,0.0,1.0
0,7,0.09473684210526316,0.557128196618115,0.0,1.0
0,7,0.10526315789473684,0.5868197254874048,0.0,1.0
0,7,0.11578947368421053,0.5803384149922737,0.0,1.0
0,7,0.12631578947368421,0.5654717304064341,0.0,1.0
0,7,0.1368421052631579,0.5757770229804089,0.0,1.0
0,7,0.14736842105263157,0.5643957264688182,0.0,1.0
0,7,0.15789473684210525,0.5911747562310936,0.0,1.0
0,7,0.16842105263157894,0.5382646902913575,0.0,1.0
0,7,0.17894736842105263,0.5664415542474728,0.0,1.0
0,7,0.18947368421052632,0.5780489581233023,0.0,1.0
0,7,0.2,0.5621345076501632,0.0,1.0
0,8,0.0,0.45414254845815394,0.0,1.0
0,8,0.010526315789473684,0.545175200650749,0.0,1.0
0,8,0.021052631578947368,0.6010379978045868,0.0,1.0
