run,U_value,sigma_value,hurst_exponent,fraction_greed,fraction_need
0,1,0.0,0.48793873551956246,0.0,1.0
0,1,0.01,0.4862957813912717,0.0,1.0
0,1,0.03,0.47796416966242167,0.0,1.0
0,1,0.07,0.48621951325985935,0.0,1.0
0,1,0.1,0.49070741650480765,0.0,1.0
0,1,1.2,0.4858713505427669,0.0,1.0
0,1,0.15,0.48703842951566667,0.0,1.0
0,1,0.18,0.48566140197057023,0.0,1.0
0,1,0.2,0.4893824502413616,0.0,1.0
0,1,0.3,0.49401283726691203,0.0,1.0
0,1,0.5,0.4860406788037321,0.0,1.0
0,1,0.7,0.48241784575696406,0.0,1.0
0,1,1.0,0.48026156311624063,0.0,1.0
0,4,0.0,0.48559177445227897,0.0,1.0
0,4,0.01,0.4855603327239055,0.0,1.0
0,4,0.03,0.4868950277778478,0.0,1.0
0,4,0.07,0.4909217431545331,0.0,1.0
0,4,0.1,0.5005980752446757,0.0,1.0
0,4,1.2,0.4880335931662425,0.0,1.0
0,4,0.15,0.4930575322433339,0.0,1.0
0,4,0.18,0.49473507500809194,0.0,1.0
0,4,0.2,0.48876490615739543,0.0,1.0
0,4,0.3,0.4941529449124188,0.0,1.0
0,4,0.5,0.49753819671390165,0.0,1.0
0,4,0.7,0.4884362108226131,0.0,1.0
0,4,1.0,0.49170507673149616,0.0,1.0
0,8,0.0,0.4853230708369057,0.0,1.0
0,8,0.01,0.4981248490077874,0.0,1.0
0,8,0.03,0.5176281740266024,0.0,1.0
0,8,0.07,0.5138002129966417,0.0,1.0
0,8,0.1,0.5285567962209622,0.0,1.0
0,8,1.2,0.5009385153618395,0.0,1.0
0,8,0.15,0.5244136547621988,0.0,1.0
0,8,0.18,0.5237713935860538,0.0,1.0
0,8,0.2,0.5282605928171649,0.0,1.0
0,8,0.3,0.5270062551136225,0.0,1.0
0,8,0.5,0.5077550643792808,0.0,1.0
0,8,0.7,0.49777316592383514,0.0,1.0
0,8,1.0,0.5043313677129927,0.0,1.0
0,9,0.0,0.48381894946789555,0.0,1.0
0,9,0.01,0.5301588443858345,0.0,1.0
0,9,0.03,0.5651323806530978,0.0,1.0
0,9,0.07,0.5710121248250652,0.0,1.0
0,9,0.1,0.5574314645674716,0.0,1.0
0,9,1.2,0.4983749290746299,0.0,1.0
0,9,0.15,0.5451262889240093,0.0,1.0
0,9,0.18,0.548669970847755,0.0,1.0
0,9,0.2,0.5531020770120767,0.0,1.0
0,9,0.3,0.5404760972295859,0.0,1.0
0,9,0.5,0.5310614319904624,0.0,1.0
0,9,0.7,0.5101142904849689,0.0,1.0
0,9,1.0,0.5005662604111978,0.0,1.0
0,10,0.0,0.5466367935704323,0.10666666666666666,0.8933333333333334
0,10,0.01,0.5519039543916433,0.10168384879725084,0.898316151202749
0,10,0.03,0.5658185456036018,0.0918041237113402,0.9081958762886597
0,10,0.07,0.5770511028943832,0.07938144329896907,0.9206185567010309
