Need,Greed,Run,Sigma_Index
0.1845017182130584,0.8154982817869416,0,0
0.18025773195876288,0.8197422680412372,0,1
0.17917525773195878,0.8208247422680413,0,2
0.16804123711340208,0.8319587628865979,0,3
0.16582474226804123,0.8341752577319588,0,4
0.16417525773195876,0.8358247422680413,0,5
0.15675257731958764,0.8432474226804123,0,6
0.1511168384879725,0.8488831615120275,0,7
0.14826460481099657,0.8517353951890034,0,8
0.14664948453608245,0.8533505154639175,0,9
0.13931271477663232,0.8606872852233677,0,10
0.13513745704467356,0.8648625429553264,0,11
0.13,0.8700000000000001,0,12
0.13166666666666665,0.8683333333333333,0,13
0.1265979381443299,0.87340206185567,0,14
0.1234364261168385,0.8765635738831614,0,15
0.11979381443298968,0.8802061855670102,0,16
0.11431271477663231,0.8856872852233677,0,17
0.11042955326460481,0.8895704467353952,0,18
0.1068041237113402,0.8931958762886598,0,19
0.1095189003436426,0.8904810996563574,0,20
0.09312714776632303,0.9068728522336769,0,21
0.0804639175257732,0.9195360824742269,0,22
0.057336769759450165,0.9426632302405498,0,23
0.03970790378006873,0.9602920962199313,0,24
0.02814432989690722,0.9718556701030926,0,25
0.02065292096219931,0.9793470790378007,0,26
0.013608247422680412,0.9863917525773195,0,27
0.01027491408934708,0.9897250859106529,0,28
0.00774914089347079,0.9922508591065292,0,29
0.18716494845360826,0.8128350515463918,1,0
0.18298969072164947,0.8170103092783505,1,1
0.17644329896907215,0.8235567010309278,1,2
0.17338487972508587,0.826615120274914,1,3
0.16780068728522335,0.8321993127147765,1,4
0.16151202749140894,0.8384879725085911,1,5
0.16176975945017183,0.8382302405498282,1,6
0.148659793814433,0.851340206185567,1,7
0.14692439862542955,0.8530756013745705,1,8
0.14372852233676978,0.8562714776632303,1,9
0.1436082474226804,0.8563917525773195,1,10
0.1379381443298969,0.8620618556701031,1,11
0.13305841924398626,0.8669415807560138,1,12
0.12742268041237112,0.8725773195876289,1,13
0.12597938144329895,0.874020618556701,1,14
0.12400343642611684,0.8759965635738831,1,15
0.11881443298969073,0.8811855670103094,1,16
0.11807560137457045,0.8819243986254295,1,17
0.11474226804123712,0.8852577319587629,1,18
0.11171821305841924,0.8882817869415808,1,19
0.10379725085910653,0.8962027491408934,1,20
0.09056701030927834,0.9094329896907217,1,21
0.07919243986254294,0.920807560137457,1,22
0.05556701030927835,0.9444329896907216,1,23
0.03608247422680412,0.9639175257731959,1,24
0.029725085910652923,0.970274914089347,1,25
0.02127147766323024,0.9787285223367698,1,26
0.014587628865979385,0.9854123711340206,1,27
0.009759450171821305,0.9902405498281788,1,28
0.008109965635738833,0.9918900343642612,1,29
0.18967353951890034,0.8103264604810997,2,0
0.18213058419243985,0.8178694158075602,2,1
0.17585910652920964,0.8241408934707903,2,2
0.17075601374570445,0.8292439862542955,2,3
0.16506872852233676,0.8349312714776631,2,4
0.16475945017182128,0.8352405498281787,2,5
0.15778350515463918,0.8422164948453608,2,6
0.15324742268041236,0.8467525773195875,2,7
0.15046391752577318,0.8495360824742269,2,8
0.14448453608247425,0.8555154639175258,2,9
0.1383848797250859,0.861615120274914,2,10
0.1379725085910653,0.8620274914089346,2,11
0.13405498281786943,0.8659450171821306,2,12
0.1285910652920962,0.8714089347079037,2,13
0.12427835051546392,0.8757216494845361,2,14
0.12032646048109966,0.8796735395189001,2,15
0.12029209621993131,0.8797079037800687,2,16
0.11408934707903778,0.8859106529209623,2,17
0.11448453608247422,0.8855154639175258,2,18
0.10530927835051546,0.8946907216494846,2,19
0.10417525773195875,0.8958247422680414,2,20
0.090893470790378,0.909106529209622,2,21
0.07979381443298969,0.9202061855670104,2,22
0.05599656357388317,0.944003436426117,2,23
0.03907216494845361,0.9609278350515463,2,24
0.026821305841924402,0.9731786941580756,2,25
0.019415807560137457,0.9805841924398626,2,26
0.01323024054982818,0.9867697594501718,2,27
0.009673539518900345,0.9903264604810998,2,28
0.007731958762886598,0.9922680412371134,2,29
0.18960481099656357,0.8103951890034364,3,0
0.18446735395189004,0.8155326460481099,3,1
0.17328178694158075,0.8267182130584193,3,2
