run,U_value,sigma_value,hurst_exponent,fraction_greed,fraction_need
0,1,0.0,0.44465960238729946,,
0,1,0.01,0.4672424502372139,,
0,1,0.03,0.4535586414096987,,
0,1,0.07,0.44247087782181477,,
0,1,0.1,0.4672663841818124,,
0,1,1.2,0.43406780411503815,,
0,1,0.15,0.45611148921838734,,
0,1,0.18,0.47473959312260555,,
0,1,0.2,0.4413112856365068,,
0,1,0.3,0.4430221332139678,,
0,1,0.5,0.4405155639000248,,
0,1,0.7,0.4530494759982796,,
0,1,1.0,0.441737250232333,,
0,4,0.0,0.4403799933946252,0.0,1.0
0,4,0.01,0.46961630523033887,0.0,1.0
0,4,0.03,0.46459146839141086,0.0,1.0
0,4,0.07,0.5030861659054265,0.0,1.0
0,4,0.1,0.4714205077021176,0.0,1.0
0,4,1.2,0.4555686130976887,,
0,4,0.15,0.48448804455930505,,
0,4,0.18,0.4916855718743472,,
0,4,0.2,0.48803991160698174,0.0,1.0
0,4,0.3,0.488578155499458,,
0,4,0.5,0.48882667550244985,,
0,4,0.7,0.47963261329202667,,
0,4,1.0,0.439878261942397,,
0,8,0.0,0.45338313632995364,0.0,1.0
0,8,0.01,0.5651315356137673,0.0,1.0
0,8,0.03,0.5899712743233454,0.0,1.0
0,8,0.07,0.6126073325849943,0.0,1.0
0,8,0.1,0.6380998088446488,0.0,1.0
0,8,1.2,0.4951453719971274,0.0,1.0
0,8,0.15,0.6030823445960891,0.0,1.0
0,8,0.18,0.6306251503271738,0.0,1.0
0,8,0.2,0.584470233482999,0.0,1.0
0,8,0.3,0.5834921042595973,0.0,1.0
0,8,0.5,0.5410497535975434,0.0,1.0
0,8,0.7,0.5275444029042794,0.0,1.0
0,8,1.0,0.4949335971932909,0.0,1.0
0,9,0.0,0.4718820908410735,0.0,1.0
0,9,0.01,0.6843887221764666,0.0,1.0
0,9,0.03,0.770268935054388,0.0,1.0
0,9,0.07,0.7411798379545547,0.0,1.0
0,9,0.1,0.7146974751424467,0.0,1.0
0,9,1.2,0.5163878514891177,0.0,1.0
0,9,0.15,0.6972909344358431,0.0,1.0
0,9,0.18,0.6800184877599506,0.0,1.0
0,9,0.2,0.6451131054984146,0.0,1.0
0,9,0.3,0.6390053504345612,0.0,1.0
0,9,0.5,0.5642261483982274,0.0,1.0
0,9,0.7,0.5608216840775411,0.0,1.0
0,9,1.0,0.5081025315826533,0.0,1.0
0,10,0.0,0.6643039711841098,0.10443654171737297,0.8955634582826271
0,10,0.01,0.6980010709390527,0.0968532234924069,0.9031467765075931
0,10,0.03,0.7638483816224859,0.08766406641791195,0.912335933582088
0,10,0.07,0.7404764926359056,0.07059677342291118,0.9294032265770888
0,10,0.1,0.7726739049862192,0.06033403681782773,0.9396659631821722
0,10,1.2,0.5240314556897462,9.6931427938407e-05,0.9999030685720616
0,10,0.15,0.7307311186656797,0.04418682341403768,0.9558131765859624
0,10,0.18,0.7104113031963736,0.03904707103192023,0.9609529289680797
0,10,0.2,0.6911269915950602,0.03403070557045812,0.9659692944295418
0,10,0.3,0.6469580704402416,0.019940726340659288,0.9800592736593405
0,10,0.5,0.6051035160067036,0.004500707367493811,0.9954992926325062
0,10,0.7,0.5494273788125748,0.0012704599696996362,0.9987295400303003
0,10,1.0,0.523992470424798,0.00017016411084207696,0.9998298358891579
0,11,0.0,0.6454982955446841,0.18704092442966483,0.812959075570335
0,11,0.01,0.6775863011221167,0.17604854102625822,0.8239514589737417
0,11,0.03,0.7223748890497232,0.17006796843875732,0.8299320315612426
0,11,0.07,0.7333099467111812,0.14732239345908346,0.8526776065409164
0,11,0.1,0.7290602772080312,0.129559009539361,0.870440990460639
0,11,1.2,0.5280860135362662,0.0013338236074492407,0.998666176392551
0,11,0.15,0.7179611064447167,0.10443886330571882,0.8955611366942813
0,11,0.18,0.7132262813309287,0.09712766477286071,0.9028723352271392
0,11,0.2,0.7082037208552511,0.09156374494358718,0.9084362550564128
0,11,0.3,0.6680912789505002,0.05882945259594127,0.9411705474040588
0,11,0.5,0.6296840558398767,0.02160833746447679,0.9783916625355232
0,11,0.7,0.5737222118152554,0.006495670935329683,0.9935043290646702
0,11,1.0,0.5345282092015207,0.0010963429999914015,0.9989036570000086
0,12,0.0,0.6334261936279247,0.2604675633597168,0.7395324366402831
0,12,0.01,0.6615830199586297,0.24905495531408875,0.7509450446859113
0,12,0.03,0.7010279136371038,0.23672521184685433,0.7632747881531458
0,12,0.07,0.7362223918211492,0.20902787455151536,0.7909721254484845
0,12,0.1,0.7238045504210573,0.19400537615965371,0.8059946238403461
0,12,1.2,0.5456108384357475,0.005757135263027339,0.9942428647369727
0,12,0.15,0.7143275066476444,0.1675415644317189,0.832458435568281
0,12,0.18,0.709712464187511,0.15646454799678433,0.8435354520032156
0,12,0.2,0.7232055585122364,0.1449791460868988,0.8550208539131012
0,12,0.3,0.6928412298594813,0.10503640219468743,0.8949635978053126
0,12,0.5,0.6590280198844408,0.0523042958878435,0.9476957041121565
0,12,0.7,0.5699722984783614,0.02194555648386333,0.9780544435161367
0,12,1.0,0.5375198718027735,0.00477073501793366,0.9952292649820664
0,13,0.0,0.6236023214969248,0.310628800598806,0.6893711994011941
0,13,0.01,0.6374441688627875,0.30499293583667525,0.6950070641633247
0,13,0.03,0.6665079657397517,0.29358687313023857,0.7064131268697614
0,13,0.07,0.6776685976520079,0.2726765420309439,0.7273234579690562
0,13,0.1,0.7131448559808786,0.25393970092183854,0.7460602990781615
0,13,1.2,0.5462664394002269,0.013265682536819187,0.9867343174631807
0,13,0.15,0.7361083411578363,0.222071312204704,0.777928687795296
0,13,0.18,0.6966986007442635,0.21371957810199704,0.786280421898003
0,13,0.2,0.7027844244306021,0.20170956737119633,0.7982904326288036
0,13,0.3,0.706977700146649,0.15677711623267485,0.8432228837673251
0,13,0.5,0.6379872222249359,0.08977765070815834,0.9102223492918418
0,13,0.7,0.6087234203096088,0.04721554907992376,0.9527844509200761
0,13,1.0,0.5522661770167849,0.013138976430298996,0.986861023569701
0,14,0.0,0.6316892882656864,0.36585175482557186,0.6341482451744281
0,14,0.01,0.6550553017428967,0.35462739099710505,0.645372609002895
0,14,0.03,0.6551746095326996,0.34498578111230677,0.6550142188876932
0,14,0.07,0.6910902581737315,0.3161239138078902,0.6838760861921098
0,14,0.1,0.6989421236167225,0.3070981780376414,0.6929018219623586
0,14,1.2,0.5779122830193939,0.0269600969729028,0.9730399030270972
0,14,0.15,0.7158236323009705,0.2726224274881968,0.7273775725118031
0,14,0.18,0.6912074678841273,0.2565880954440868,0.7434119045559131
0,14,0.2,0.6760055433380023,0.25641135906113444,0.7435886409388655
0,14,0.3,0.7005402017854769,0.20680146065382282,0.7931985393461771
0,14,0.5,0.6755778922597265,0.12659876583961477,0.8734012341603853
0,14,0.7,0.6196806029888045,0.07758419690682612,0.9224158030931737
0,14,1.0,0.5480899818005567,0.026089834377267633,0.9739101656227325
0,18,0.0,0.5898187845826328,0.5052656311734337,0.4947343688265663
0,18,0.01,0.6179337403025272,0.502292766380779,0.4977072336192209
0,18,0.03,0.6082965194292502,0.4877780940817398,0.5122219059182603
0,18,0.07,0.6345922062218067,0.46959564669681897,0.530404353303181
0,18,0.1,0.6574248285699491,0.4601566729390496,0.5398433270609504
0,18,1.2,0.6000115924336051,0.11077496241162872,0.8892250375883712
0,18,0.15,0.6330115214432913,0.4309402720950365,0.5690597279049635
0,18,0.18,0.6553240553182282,0.4165257287347881,0.583474271265212
0,18,0.2,0.6391390457606979,0.409240297386539,0.5907597026134611
0,18,0.3,0.6724490296141002,0.36526138361050164,0.6347386163894984
0,18,0.5,0.6302111357676138,0.2775571672348805,0.7224428327651196
0,18,0.7,0.6291480478645057,0.20812696933554728,0.7918730306644527
0,18,1.0,0.6014711291333737,0.11133025244544767,0.8886697475545523
0,23,0.0,0.5772026516694424,0.6129894241506784,0.3870105758493217
0,23,0.01,0.5621175474396479,0.6133701563545052,0.3866298436454948
0,23,0.03,0.6075792436593541,0.5997008098927556,0.4002991901072443
0,23,0.07,0.5896905222441996,0.5858110337272976,0.4141889662727024
0,23,0.1,0.6214167727055031,0.5751008462685835,0.4248991537314165
0,23,1.2,0.593766308746931,0.23640885262771322,0.7635911473722868
0,23,0.15,0.5981324140415682,0.5453523532980392,0.4546476467019608
0,23,0.18,0.6311773266743363,0.5332045918552353,0.46679540814476467
0,23,0.2,0.6261004073635865,0.528861129640152,0.471138870359848
0,23,0.3,0.6226387815935535,0.4901648498250069,0.5098351501749931
0,23,0.5,0.6519042688580228,0.4161142036426992,0.5838857963573008
0,23,0.7,0.6046090403404463,0.33868480364809594,0.661315196351904
0,23,1.0,0.6023235074527488,0.23491650976544498,0.765083490234555
0,27,0.0,0.5494068323785128,0.671234271020153,0.3287657289798469
0,27,0.01,0.5575351075072048,0.6717638013061034,0.3282361986938967
0,27,0.03,0.5592422561494754,0.667553059026506,0.33244694097349403
0,27,0.07,0.6041944794053742,0.6421577401319232,0.3578422598680769
0,27,0.1,0.613057904638965,0.6302408766619686,0.3697591233380314
0,27,1.2,0.6020458953603299,0.3162732562434051,0.6837267437565949
0,27,0.15,0.5935371305099022,0.6100770696132692,0.3899229303867308
0,27,0.18,0.5837610533577058,0.6028378569477023,0.39716214305229774
0,27,0.2,0.6229607458214066,0.5949173963392547,0.4050826036607452
0,27,0.3,0.5891188632382742,0.5556236052051787,0.44437639479482133
0,27,0.5,0.6090018301262143,0.4920189363191352,0.5079810636808648
0,27,0.7,0.6201827073515842,0.40627097980912347,0.5937290201908766
0,27,1.0,0.6085111387288541,0.30766470053757966,0.6923352994624205
0,35,0.0,0.5362917827152842,0.7551023627952688,0.24489763720473118
0,35,0.01,0.5364094515192986,0.7509284092717882,0.24907159072821197
0,35,0.03,0.5263438298134351,0.7442984818408581,0.255701518159142
0,35,0.07,0.5566228079398803,0.7311433512299856,0.2688566487700144
0,35,0.1,0.5593444601840302,0.7245696134784647,0.2754303865215352
0,35,1.2,0.6093086360876042,0.42420125051651675,0.5757987494834833
0,35,0.15,0.5696488436158539,0.6982044337734966,0.30179556622650333
0,35,0.18,0.5604106235455604,0.6974673214642345,0.3025326785357655
0,35,0.2,0.5799901083017018,0.6885039650561285,0.31149603494387135
0,35,0.3,0.5857727107206632,0.657922018873863,0.342077981126137
0,35,0.5,0.5718203335839604,0.5885514778769002,0.41144852212309974
0,35,0.7,0.6087942010845238,0.5194145566589528,0.48058544334104725
0,35,1.0,0.5958528733965582,0.42806822533777616,0.5719317746622239
0,50,0.0,0.5367116289805965,0.8358935791098158,0.16410642089018423
