Need,Greed,Run,Sigma_Index
0.0,1.0,0,0
0.053281786941580755,0.9467182130584193,0,1
0.12396907216494846,0.8760309278350515,0,2
0.18238831615120277,0.8176116838487973,0,3
0.23991408934707903,0.760085910652921,0,4
0.29553264604810997,0.7044673539518901,0,5
0.3404982817869416,0.6595017182130585,0,6
0.37481099656357386,0.6251890034364261,0,7
0.41752577319587636,0.5824742268041238,0,8
0.4399140893470791,0.5600859106529209,0,9
0.4687972508591065,0.5312027491408935,0,10
0.4997938144329897,0.5002061855670104,0,11
0.521786941580756,0.478213058419244,0,12
0.532680412371134,0.467319587628866,0,13
0.5575601374570447,0.4424398625429553,0,14
0.5787628865979381,0.4212371134020619,0,15
0.5908762886597938,0.40912371134020614,0,16
0.6084707903780069,0.3915292096219931,0,17
0.6249484536082475,0.3750515463917526,0,18
0.6375945017182131,0.3624054982817869,0,19
0.0,1.0,1,0
0.05556701030927835,0.9444329896907216,1,1
0.11812714776632302,0.881872852233677,1,2
0.18896907216494846,0.8110309278350515,1,3
0.2415463917525773,0.7584536082474227,1,4
0.29472508591065294,0.7052749140893472,1,5
0.3316494845360825,0.6683505154639175,1,6
0.3801890034364261,0.619810996563574,1,7
0.41163230240549825,0.5883676975945016,1,8
0.4416323024054982,0.5583676975945018,1,9
0.470085910652921,0.529914089347079,1,10
0.49295532646048107,0.507044673539519,1,11
0.5176460481099657,0.48235395189003427,1,12
0.5412199312714777,0.45878006872852234,1,13
0.5606013745704467,0.43939862542955327,1,14
0.5788831615120275,0.4211168384879725,1,15
0.5926632302405498,0.40733676975945016,1,16
0.6073711340206186,0.3926288659793814,1,17
0.6201546391752576,0.37984536082474224,1,18
0.6376975945017181,0.3623024054982818,1,19
0.0,1.0,2,0
0.05333333333333334,0.9466666666666668,2,1
0.12096219931271479,0.8790378006872852,2,2
0.18512027491408936,0.8148797250859107,2,3
0.24663230240549833,0.7533676975945017,2,4
0.29632302405498284,0.7036769759450171,2,5
0.3337457044673539,0.666254295532646,2,6
0.37580756013745703,0.6241924398625429,2,7
0.4100171821305842,0.5899828178694159,2,8
0.4479896907216494,0.5520103092783506,2,9
0.46979381443298973,0.5302061855670104,2,10
0.48601374570446737,0.5139862542955326,2,11
0.5192955326460481,0.48070446735395184,2,12
0.5353608247422681,0.4646391752577319,2,13
0.5515635738831615,0.4484364261168385,2,14
0.5743642611683848,0.42563573883161515,2,15
0.5953436426116838,0.4046563573883161,2,16
0.6154982817869417,0.38450171821305845,2,17
0.6215292096219932,0.37847079037800685,2,18
0.6406357388316152,0.3593642611683849,2,19
0.0,1.0,3,0
0.054226804123711336,0.9457731958762887,3,1
0.12403780068728522,0.8759621993127148,3,2
0.17884879725085912,0.8211512027491409,3,3
0.2381786941580756,0.7618213058419244,3,4
0.29292096219931274,0.7070790378006873,3,5
0.33623711340206186,0.663762886597938,3,6
0.37853951890034365,0.6214604810996565,3,7
0.4169931271477663,0.5830068728522336,3,8
0.4485910652920962,0.5514089347079038,3,9
0.4725085910652921,0.5274914089347079,3,10
0.4950515463917526,0.5049484536082474,3,11
0.5141924398625429,0.4858075601374571,3,12
0.5405841924398626,0.45941580756013745,3,13
0.5609278350515463,0.43907216494845364,3,14
0.5749140893470791,0.42508591065292095,3,15
0.5897938144329897,0.41020618556701033,3,16
0.6097938144329896,0.3902061855670103,3,17
0.6192096219931271,0.3807903780068729,3,18
0.6401374570446735,0.35986254295532644,3,19
0.0,1.0,4,0
0.05671821305841925,0.9432817869415808,4,1
0.12158075601374568,0.8784192439862543,4,2
0.18149484536082475,0.8185051546391753,4,3
0.24054982817869416,0.7594501718213058,4,4
0.29154639175257735,0.7084536082474228,4,5
0.32902061855670106,0.6709793814432989,4,6
0.3738316151202749,0.6261683848797251,4,7
0.41012027491408937,0.5898797250859107,4,8
0.44307560137457047,0.5569243986254295,4,9
0.4698453608247423,0.5301546391752577,4,10
0.4973195876288661,0.502680412371134,4,11
0.5112027491408935,0.4887972508591066,4,12
0.5301546391752577,0.4698453608247423,4,13
0.5614776632302405,0.4385223367697594,4,14
0.5757044673539519,0.4242955326460481,4,15
0.5972508591065292,0.4027491408934708,4,16
0.6146563573883161,0.3853436426116838,4,17
0.6225429553264604,0.3774570446735395,4,18
0.635893470790378,0.36410652920962194,4,19
0.0,1.0,5,0
0.05491408934707904,0.9450859106529209,5,1
0.12231958762886598,0.877680412371134,5,2
0.1879381443298969,0.8120618556701031,5,3
0.24233676975945015,0.7576632302405499,5,4
0.29094501718213056,0.7090549828178694,5,5
0.33931271477663233,0.6606872852233676,5,6
0.3758762886597938,0.6241237113402062,5,7
0.40953608247422685,0.5904639175257732,5,8
0.4439003436426117,0.5560996563573882,5,9
0.46872852233676976,0.5312714776632301,5,10
0.4965463917525773,0.5034536082474227,5,11
0.5203780068728523,0.47962199312714776,5,12
0.538831615120275,0.46116838487972506,5,13
0.5507388316151203,0.44926116838487967,5,14
0.5767353951890034,0.4232646048109966,5,15
0.5908762886597938,0.40912371134020614,5,16
0.6137800687285224,0.3862199312714777,5,17
0.6262199312714777,0.3737800687285223,5,18
0.6375429553264605,0.3624570446735395,5,19
0.0,1.0,6,0
0.05780068728522337,0.9421993127147764,6,1
0.12312714776632301,0.876872852233677,6,2
0.18786941580756014,0.8121305841924398,6,3
0.24341924398625434,0.7565807560137457,6,4
0.28695876288659794,0.713041237113402,6,5
0.33683848797250865,0.6631615120274915,6,6
0.37359106529209624,0.6264089347079038,6,7
0.4152749140893471,0.584725085910653,6,8
0.4362886597938144,0.5637113402061856,6,9
0.46824742268041236,0.5317525773195877,6,10
0.49017182130584186,0.5098281786941581,6,11
0.5235395189003437,0.4764604810996564,6,12
0.5331271477663231,0.466872852233677,6,13
0.5612199312714776,0.4387800687285223,6,14
0.5786597938144329,0.421340206185567,6,15
0.5899484536082474,0.41005154639175256,6,16
0.6126116838487972,0.3873883161512027,6,17
0.6260137457044674,0.37398625429553267,6,18
0.6404123711340207,0.3595876288659794,6,19
0.0,1.0,7,0
0.05549828178694158,0.9445017182130583,7,1
0.12209621993127148,0.8779037800687284,7,2
0.18634020618556701,0.8136597938144329,7,3
0.23508591065292095,0.7649140893470789,7,4
0.2875257731958763,0.7124742268041238,7,5
0.3343470790378007,0.6656529209621993,7,6
0.37975945017182133,0.6202405498281788,7,7
0.4152749140893471,0.584725085910653,7,8
0.44046391752577324,0.5595360824742268,7,9
0.47068728522336767,0.5293127147766323,7,10
0.4931786941580756,0.5068213058419244,7,11
0.5144329896907216,0.4855670103092784,7,12
0.5372680412371134,0.4627319587628866,7,13
0.5601546391752578,0.4398453608247423,7,14
0.5772852233676975,0.4227147766323024,7,15
0.5882474226804124,0.4117525773195876,7,16
0.6060137457044674,0.3939862542955327,7,17
0.6240721649484535,0.37592783505154637,7,18
0.6327319587628866,0.3672680412371134,7,19
0.0,1.0,8,0
0.055189003436426125,0.944810996563574,8,1
0.12084192439862546,0.8791580756013746,8,2
0.18546391752577318,0.8145360824742267,8,3
0.24386597938144325,0.7561340206185568,8,4
0.29237113402061854,0.7076288659793813,8,5
0.338041237113402,0.6619587628865979,8,6
0.37634020618556696,0.623659793814433,8,7
0.4107388316151203,0.5892611683848797,8,8
0.44079037800687276,0.5592096219931272,8,9
0.46932989690721644,0.5306701030927835,8,10
0.49493127147766325,0.5050687285223368,8,11
0.5194501718213058,0.48054982817869407,8,12
0.5329209621993126,0.46707903780068727,8,13
0.5632474226804124,0.4367525773195876,8,14
0.5744501718213059,0.4255498281786942,8,15
0.586958762886598,0.413041237113402,8,16
0.6084707903780069,0.3915292096219931,8,17
0.6295017182130584,0.37049828178694155,8,18
0.6247422680412371,0.37525773195876283,8,19
0.0,1.0,9,0
0.05527491408934708,0.9447250859106529,9,1
0.12259450171821305,0.8774054982817869,9,2
0.18714776632302405,0.812852233676976,9,3
0.2397250859106529,0.7602749140893471,9,4
0.2902233676975945,0.7097766323024055,9,5
0.3398109965635739,0.6601890034364262,9,6
0.37780068728522337,0.6221993127147767,9,7
0.4024226804123711,0.5975773195876289,9,8
0.43929553264604815,0.5607044673539519,9,9
0.4752920962199313,0.5247079037800687,9,10
0.49673539518900345,0.5032646048109966,9,11
0.5191237113402062,0.4808762886597938,9,12
0.5360309278350516,0.4639690721649484,9,13
0.560893470790378,0.439106529209622,9,14
0.5750171821305842,0.42498281786941583,9,15
0.5976632302405499,0.4023367697594502,9,16
0.6074054982817869,0.3925945017182131,9,17
0.6249484536082475,0.3750515463917526,9,18
0.6293127147766323,0.3706872852233677,9,19
0.0,1.0,10,0
0.055292096219931273,0.9447079037800686,10,1
0.11977663230240548,0.8802233676975945,10,2
0.18259450171821306,0.817405498281787,10,3
0.24297250859106528,0.7570274914089348,10,4
0.28912371134020615,0.7108762886597938,10,5
0.33360824742268036,0.6663917525773196,10,6
0.37561855670103095,0.624381443298969,10,7
0.4093470790378007,0.5906529209621993,10,8
0.44448453608247435,0.5555154639175257,10,9
0.46780068728522334,0.5321993127147766,10,10
0.49369415807560146,0.5063058419243985,10,11
0.527955326460481,0.47204467353951896,10,12
0.5398625429553263,0.46013745704467357,10,13
0.5610137457044674,0.4389862542955326,10,14
0.5786941580756013,0.4213058419243986,10,15
0.5879209621993128,0.4120790378006873,10,16
0.6086254295532646,0.3913745704467354,10,17
0.6225257731958762,0.3774742268041237,10,18
0.6322852233676977,0.3677147766323024,10,19
0.0,1.0,11,0
0.0529553264604811,0.9470446735395188,11,1
0.12072164948453606,0.8792783505154639,11,2
0.1851890034364261,0.8148109965635739,11,3
0.24261168384879728,0.7573883161512027,11,4
0.29140893470790374,0.7085910652920961,11,5
0.34360824742268037,0.6563917525773195,11,6
0.38194158075601375,0.6180584192439862,11,7
0.41254295532646046,0.5874570446735395,11,8
0.4398797250859106,0.5601202749140893,11,9
0.46699312714776625,0.5330068728522337,11,10
0.497233676975945,0.502766323024055,11,11
0.5210309278350516,0.47896907216494844,11,12
0.5392955326460481,0.4607044673539519,11,13
0.5594845360824743,0.4405154639175258,11,14
0.5747938144329896,0.42520618556701034,11,15
0.5952749140893472,0.40472508591065287,11,16
0.6019072164948454,0.39809278350515465,11,17
